tabua,idade,qx_masc,qx_fem
AT-83,0,0.003030003,0.001835
AT-83,1,0.001179999,0.000778
AT-83,2,0.000669993,0.000402
AT-83,3,0.000540004,0.000298
AT-83,4,0.000469999,0.00024
AT-83,5,0.00038,0.000194
AT-83,6,0.000350003,0.00016
AT-83,7,0.000330001,0.000134
AT-83,8,0.000350001,0.000134
AT-83,9,0.000369991,0.000136
AT-83,10,0.000380006,0.000141
AT-83,11,0.000390002,0.000147
AT-83,12,0.000409994,0.000155
AT-83,13,0.000420002,0.000165
AT-83,14,0.000430001,0.000175
AT-83,15,0.000440004,0.000188
AT-83,16,0.000449999,0.000201
AT-83,17,0.000459997,0.000214
AT-83,18,0.000469999,0.000229
AT-83,19,0.000490002,0.000244
AT-83,20,0.000510002,0.00026
AT-83,21,0.000529993,0.000276
AT-83,22,0.000550005,0.000293
AT-83,23,0.000569999,0.000311
AT-83,24,0.000599999,0.00033
AT-83,25,0.000620002,0.000349
AT-83,26,0.000649997,0.000368
AT-83,27,0.000679999,0.000387
AT-83,28,0.000700002,0.000405
AT-83,29,0.000730001,0.000423
AT-83,30,0.000760003,0.000441
AT-83,31,0.000790002,0.00046
AT-83,32,0.000809992,0.000479
AT-83,33,0.000840005,0.000499
AT-83,34,0.000879994,0.000521
AT-83,35,0.000920005,0.000545
AT-83,36,0.000970004,0.000574
AT-83,37,0.001029992,0.000607
AT-83,38,0.001110001,0.000646
AT-83,39,0.001219998,0.000691
AT-83,40,0.001340001,0.000742
AT-83,41,0.001489999,0.000801
AT-83,42,0.001670003,0.000867
AT-83,43,0.001890003,0.000942
AT-83,44,0.002129998,0.001026
AT-83,45,0.002400002,0.001122
AT-83,46,0.002690003,0.001231
AT-83,47,0.003009991,0.001356
AT-83,48,0.003340008,0.001499
AT-83,49,0.00369,0.001657
AT-83,50,0.004059991,0.00183
AT-83,51,0.00443,0.002016
AT-83,52,0.004809999,0.002215
AT-83,53,0.005200004,0.002426
AT-83,54,0.005589998,0.00265
AT-83,55,0.005990003,0.002891
AT-83,56,0.006410004,0.003151
AT-83,57,0.006839996,0.003432
AT-83,58,0.007290003,0.003739
AT-83,59,0.007779997,0.004081
AT-83,60,0.008339994,0.004467
AT-83,61,0.008980003,0.004908
AT-83,62,0.009740007,0.005413
AT-83,63,0.010629999,0.00599
AT-83,64,0.011659993,0.006633
AT-83,65,0.012850005,0.007336
AT-83,66,0.014199998,0.00809
AT-83,67,0.015719996,0.008888
AT-83,68,0.017410009,0.009731
AT-83,69,0.019299994,0.010653
AT-83,70,0.021369999,0.011697
AT-83,71,0.023649999,0.012905
AT-83,72,0.026129997,0.014319
AT-83,73,0.02884001,0.01598
AT-83,74,0.031789994,0.017909
AT-83,75,0.035050005,0.020127
AT-83,76,0.038630001,0.022654
AT-83,77,0.042589991,0.025509
AT-83,78,0.046050004,0.028717
AT-83,79,0.051760001,0.032328
AT-83,80,0.057029998,0.036395
AT-83,81,0.062790009,0.040975
AT-83,82,0.069079991,0.046121
AT-83,83,0.075910003,0.051889
AT-83,84,0.08323,0.058336
AT-83,85,0.090990006,0.065518
AT-83,86,0.099120004,0.073493
AT-83,87,0.107579996,0.082318
AT-83,88,0.116319986,0.092017
AT-83,89,0.125390013,0.102491
AT-83,90,0.134889982,0.113605
AT-83,91,0.14487001,0.125227
AT-83,92,0.15543002,0.137222
AT-83,93,0.166629969,0.149462
AT-83,94,0.178539992,0.161834
AT-83,95,0.19121001,0.174228
AT-83,96,0.204719986,0.186535
AT-83,97,0.219120017,0.198646
AT-83,98,0.234740002,0.211102
AT-83,99,0.251890001,0.224445
AT-83,100,1.0,1.0
AT-83,101,1.0,1.0
AT-83,102,1.0,1.0
AT-83,103,1.0,1.0
AT-83,104,1.0,1.0
AT-83,105,1.0,1.0
AT-83,106,1.0,1.0
AT-83,107,1.0,1.0
AT-83,108,1.0,1.0
AT-83,109,1.0,1.0
AT-83,110,1.0,1.0
AT-83,111,1.0,1.0
AT-83,112,1.0,1.0
AT-83,113,1.0,1.0
AT-83,114,1.0,1.0
AT-83,115,1.0,1.0
AT-83,116,1.0,1.0
AT-83,117,1.0,1.0
AT-83,118,1.0,1.0
AT-83,119,1.0,1.0
AT-83,120,1.0,1.0
AT-83,121,1.0,1.0
AT-83,122,1.0,1.0
AT-83,123,1.0,1.0
AT-83,124,1.0,1.0
AT-83,125,1.0,1.0
BR-EMS sobrev. 2010,0,0.00069,0.00038
BR-EMS sobrev. 2010,1,0.00069,0.00038
BR-EMS sobrev. 2010,2,0.00035,0.0002
BR-EMS sobrev. 2010,3,0.00022,0.00013
BR-EMS sobrev. 2010,4,0.00016,0.0001
BR-EMS sobrev. 2010,5,0.00013,0.00008
BR-EMS sobrev. 2010,6,0.00012,0.00007
BR-EMS sobrev. 2010,7,0.00011,0.00007
BR-EMS sobrev. 2010,8,0.00011,0.00008
BR-EMS sobrev. 2010,9,0.00012,0.00009
BR-EMS sobrev. 2010,10,0.00013,0.00012
BR-EMS sobrev. 2010,11,0.00015,0.00015
BR-EMS sobrev. 2010,12,0.00019,0.00018
BR-EMS sobrev. 2010,13,0.00024,0.00022
BR-EMS sobrev. 2010,14,0.00031,0.00025
BR-EMS sobrev. 2010,15,0.00039,0.00027
BR-EMS sobrev. 2010,16,0.00048,0.00029
BR-EMS sobrev. 2010,17,0.00057,0.0003
BR-EMS sobrev. 2010,18,0.00066,0.00031
BR-EMS sobrev. 2010,19,0.00074,0.0003
BR-EMS sobrev. 2010,20,0.0008,0.0003
BR-EMS sobrev. 2010,21,0.00085,0.0003
BR-EMS sobrev. 2010,22,0.00089,0.00029
BR-EMS sobrev. 2010,23,0.00092,0.00029
BR-EMS sobrev. 2010,24,0.00093,0.00029
BR-EMS sobrev. 2010,25,0.00093,0.00029
BR-EMS sobrev. 2010,26,0.00093,0.00029
BR-EMS sobrev. 2010,27,0.00092,0.0003
BR-EMS sobrev. 2010,28,0.00092,0.00032
BR-EMS sobrev. 2010,29,0.00091,0.00033
BR-EMS sobrev. 2010,30,0.00092,0.00035
BR-EMS sobrev. 2010,31,0.00093,0.00037
BR-EMS sobrev. 2010,32,0.00094,0.0004
BR-EMS sobrev. 2010,33,0.00099,0.00042
BR-EMS sobrev. 2010,34,0.00103,0.00045
BR-EMS sobrev. 2010,35,0.00109,0.00047
BR-EMS sobrev. 2010,36,0.00115,0.00051
BR-EMS sobrev. 2010,37,0.00121,0.00054
BR-EMS sobrev. 2010,38,0.00128,0.00058
BR-EMS sobrev. 2010,39,0.00136,0.00062
BR-EMS sobrev. 2010,40,0.00144,0.00066
BR-EMS sobrev. 2010,41,0.00153,0.00071
BR-EMS sobrev. 2010,42,0.00164,0.00077
BR-EMS sobrev. 2010,43,0.00175,0.00083
BR-EMS sobrev. 2010,44,0.00187,0.00089
BR-EMS sobrev. 2010,45,0.00201,0.00096
BR-EMS sobrev. 2010,46,0.00215,0.00104
BR-EMS sobrev. 2010,47,0.00231,0.00112
BR-EMS sobrev. 2010,48,0.00249,0.00121
BR-EMS sobrev. 2010,49,0.00268,0.00131
BR-EMS sobrev. 2010,50,0.0029,0.00142
BR-EMS sobrev. 2010,51,0.00313,0.00155
BR-EMS sobrev. 2010,52,0.00339,0.00169
BR-EMS sobrev. 2010,53,0.00367,0.00185
BR-EMS sobrev. 2010,54,0.00398,0.00203
